State,Disenrollment_Rate,Renewal_Rate
Alabama,32.51670922238707,67.48329077761292
Alaska,41.796686763115346,58.203313236884654
Arizona,24.147863022522316,75.85213697747768
Arkansas,39.467986460733286,60.532013539266714
California,20.509745758977143,79.49025424102285
Colorado,47.50620321231504,52.49379678768496
Connecticut,18.484820635358272,81.51517936464172
Delaware,26.58208056067804,73.41791943932196
District of Columbia,17.008111239860952,82.99188876013905
Florida,37.253577608990526,62.746422391009474
Georgia,49.623274328919734,50.376725671080266
Hawaii,21.626620448301516,78.37337955169849
Idaho,55.091989117026955,44.908010882973045
Illinois,22.28088251,77.71911749
Indiana,28.733038998911237,71.26696100108876
Iowa,33.69531560215222,66.30468439784778
Kansas,35.67322154,64.32677846
Kentucky,23.066828332408136,76.93317166759186
Louisiana,35.746122375944495,64.25387762
Maine,12.676763849951028,87.32323615004897
Maryland,22.80007221241868,77.19992778758132
Michigan,35.646183988908874,64.35381601109113
Minnesota,26.104239726501753,73.89576027349824
Mississippi,25.541545604424037,74.45845439557596
Missouri,27.749159372558278,72.25084062744172
Montana,55.087282313136974,44.912717686863026
Nebraska,32.04956709638537,67.95043290361463
Nevada,30.946796260621372,69.05320373937863
New Hampshire,34.41279125617736,65.58720874382264
New Jersey,40.33316963037235,59.66683036962765
New Mexico,28.524418915846756,71.47558108415325
New York,29.762172890205196,70.23782710979481
North Carolina,12.80313535410894,87.19686464589105
North Dakota,38.71444613438331,61.28555386561669
Ohio,24.1680217,75.8319783
Oklahoma,54.218345219961165,45.781654780038835
Oregon,17.00684623761547,82.99315376238454
Pennsylvania,29.19698437250602,70.80301562749398
Rhode Island,29.399115484293752,70.60088451570624
South Carolina,34.06858744705681,65.93141255294319
South Dakota,51.32509714057986,48.67490285942014
Tennessee,34.53050873542145,65.46949126457855
Texas,47.319214216858086,52.680785783141914
Utah,55.23703664154003,44.76296335845997
Vermont,26.185426027741343,73.81457397225866
Virginia,24.46112523263239,75.53887476736762
Washington,27.416635783453536,72.58336421654647
West Virginia,42.14465891642904,57.85534108357096
Wisconsin,32.13397210009432,67.86602789990567
Wyoming,17.67103347889374,82.32896652110625