state,domain,reporting_program,measure_name,measure_abbreviation,measure_type,rate_definition,ffy,population,methodology,state_rate,number_of_states_reporting,median,bottom_quartile,top_quartile,notes,source,statespecific_comments,rate_used_in_calculating_state_mean_and_median,_input_file_date
Pennsylvania,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,57.3,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (9 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Data were submitted by MCOs and compiled by the state's EQRO.,Yes,2019-12-31
South Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,56.1,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2019-12-31
Tennessee,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,49.9,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (4 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,Yes,2019-12-31
Texas,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,50.9,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and managed care populations (32 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,Yes,2019-12-31
Washington,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,54.5,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (5 MCOs) ages 50 to 74, representing 99 percent of the population. Rate excludes FFS population, representing 1 percent of the population, and Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.",Yes,2019-12-31
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,42.1,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2018-12-31
California,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,54.5,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and managed care populations (26 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was audited using decision support software.,Yes,2018-12-31
Florida,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,58.2,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,"Rate includes managed care population (17 MCOs) ages 50 to 74, representing 67 percent of the population. Rate excludes FFS population, representing 33 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by a certified HEDIS auditor.",Yes,2018-12-31
Georgia,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,38,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and managed care populations (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles and Planning for Healthy Babies (P4HB) demonstration members per CMS Special Terms and Conditions. Rate was validated by the state's EQRO.,Yes,2018-12-31
Iowa,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,59.1,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and managed care populations (3 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State applied optional exclusions.,Yes,2018-12-31
Maryland,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,66.1,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,"Rate includes managed care population (8 MCOs), representing 83 percent of the population. Rate excludes FFS population, representing 17 percent of the population, and Medicare-Medicaid Dual Eligibles. Rate was audited by certified HEDIS auditors.",Yes,2018-12-31
Michigan,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,60.8,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and managed care populations (11 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2018-12-31
Mississippi,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,54.5,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,"Rate includes managed care population (2 MCOs), representing 64 percent of the population. Rate excludes FFS population, representing 36 percent of the population, and Medicare-Medicaid Dual Eligibles.",Yes,2018-12-31
Nevada,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,54.3,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes managed care population (3 MCOs). Rate excludes FFS population and Medicare-Medicaid Dual Eligibles.,Yes,2018-12-31
New Hampshire,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,60.2,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,"Rate includes managed care population (2 MCOs), representing 85 percent of the population. Rate excludes FFS population, representing 15 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.",Yes,2018-12-31
New Mexico,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,49.5,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes managed care population (4 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.,Yes,2018-12-31
New York,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,66.9,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and managed care populations (69 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,Yes,2018-12-31
North Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,29.5,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by an NCQA certified vendor.,Yes,2018-12-31
Pennsylvania,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,58.4,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes managed care population (9 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Data were submitted by MCOs and compiled by the state's EQRO.,Yes,2018-12-31
South Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,56.7,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes managed care population (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2018-12-31
Tennessee,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,53.8,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes managed care population (4 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,Yes,2018-12-31
Texas,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,50.9,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and managed care populations (23 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,Yes,2018-12-31
Washington,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,55.3,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,"Rate includes managed care population (5 MCOs) ages 50 to 74, representing 87 percent of the population. Rate excludes FFS population, representing 13 percent of the population, and Medicare-Medicaid Dual Eligibles. Rate also excludes managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Rate was audited by the states EQRO.",Yes,2018-12-31
Wisconsin,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,65.4,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,"Rate includes managed care population (19 MCOs), representing 54 percent of the population. Rate excludes FFS population, representing 46 percent of the population, and Medicare-Medicaid Dual Eligibles.",Yes,2018-12-31
New Mexico,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,50.7,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
Connecticut,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,62.9,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
Mississippi,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,52.3,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
New York,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,68.9,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
Tennessee,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,54.5,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
Pennsylvania,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,60.8,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
Texas,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,54.2,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
Arkansas,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,36.6,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
North Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,27.9,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
California,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,51,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,42,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
Michigan,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,58.1,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
South Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,23,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
Iowa,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,48.5,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
Georgia,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,38.3,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
Massachusetts,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2016,Medicaid,Administrative,72.8,35,52.3,47.9,60.6,null,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,null,null,2016-12-31
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,41.2,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
Texas,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,51.4,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
Montana,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,46.8,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
New Hampshire,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,57.1,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
Mississippi,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,41.8,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
Massachusetts,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,71.2,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
Indiana,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,55.5,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
New York,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,68.8,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
Pennsylvania,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,63.7,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
Michigan,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,61.2,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
Georgia,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,32.9,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
Connecticut,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,61.8,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
Arkansas,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,37.7,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
Delaware,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,53.4,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
California,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,65.3,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
Iowa,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid,Administrative,47,31,52.5,46.2,59.2,null,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,null,null,2014-12-31
North Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,34.8,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
Tennessee,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,54.1,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
Connecticut,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,61.8,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
South Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,29.8,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
Massachusetts,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,72.3,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
California,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,50.5,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
New York,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,68.9,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
Mississippi,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,46.4,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
Pennsylvania,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,63.3,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,48.8,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
New Mexico,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,53.5,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
Louisiana,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,51.1,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
Texas,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,52.6,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
Michigan,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,59.9,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
Washington,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,null,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,54.4,33,51.5,45.2,56.3,null,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,null,null,2015-12-31
